Id,GeoFips,Metro name,2014 lower income share,2014 middle income share,2014 upper income share,2000 to 2014 lower income change,2000 to 2014 middle income change,2000 to 2014 upper income change
1,10420,"Akron, OH",24.49,54.64,20.87,4.59,-5.18,0.59
2,10580,"Albany-Schenectady-Troy, NY",20.15,55.08,24.78,-1.94,-4.99,6.94
3,10740,"Albuquerque, NM",33.02,50.67,16.32,4.40,-4.68,0.29
4,10900,"Allentown-Bethlehem-Easton, PA-NJ",25.21,55.73,19.06,2.17,-5.01,2.85
5,11100,"Amarillo, TX",27.42,52.56,20.02,-4.83,-2.16,6.98
6,11260,"Anchorage, AK",20.25,55.52,24.23,-1.72,-2.70,4.42
7,11460,"Ann Arbor, MI",25.63,49.30,25.07,3.74,-1.91,-1.84
8,11500,"Anniston-Oxford-Jacksonville, AL",33.56,50.45,15.99,0.57,-4.16,3.59
9,12060,"Atlanta-Sandy Springs-Roswell, GA",26.97,50.47,22.57,6.95,-5.57,-1.37
10,12100,"Atlantic City-Hammonton, NJ",30.14,52.82,17.04,0.83,-6.35,5.52
11,12220,"Auburn-Opelika, AL",38.47,43.00,18.53,3.41,-6.73,3.32
12,12260,"Augusta-Richmond County, GA-SC",29.33,52.70,17.97,2.29,-2.36,0.07
13,12420,"Austin-Round Rock, TX",23.42,52.47,24.10,0.23,-2.58,2.34
14,12540,"Bakersfield, CA",41.45,43.64,14.91,1.14,-3.66,2.52
15,12580,"Baltimore-Columbia-Towson, MD",23.01,51.28,25.72,-0.04,-6.25,6.30
16,12620,"Bangor, ME",32.58,54.16,13.26,-0.57,-2.28,2.85
17,12700,"Barnstable Town, MA",17.67,52.06,30.28,-3.83,-7.83,11.66
18,12940,"Baton Rouge, LA",26.21,52.49,21.31,-5.35,0.12,5.25
19,13140,"Beaumont-Port Arthur, TX",32.15,50.84,17.01,1.62,-2.77,1.15
20,13380,"Bellingham, WA",32.08,51.82,16.10,2.81,-4.02,1.20
21,13460,"Bend-Redmond, OR",29.12,51.06,19.81,4.42,-8.42,3.99
22,13780,"Binghamton, NY",28.77,53.87,17.36,0.29,-4.00,3.70
23,13820,"Birmingham-Hoover, AL",29.87,49.63,20.50,2.73,-4.11,1.38
24,13980,"Blacksburg-Christiansburg-Radford, VA",34.25,50.72,15.03,-0.18,-1.71,1.89
25,14010,"Bloomington, IL",24.45,50.21,25.33,4.82,-7.88,3.05
26,14260,"Boise City, ID",29.59,54.82,15.59,6.63,-5.71,-0.92
27,14460,"Boston-Cambridge-Newton, MA-NH",21.74,48.63,29.63,0.37,-7.28,6.91
28,14740,"Bremerton-Silverdale, WA",23.10,57.11,19.79,-0.18,-2.86,3.05
29,14860,"Bridgeport-Stamford-Norwalk, CT",22.45,45.55,32.00,0.79,-4.18,3.39
30,15180,"Brownsville-Harlingen, TX",46.89,42.70,10.41,-2.86,1.48,1.38
31,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",26.24,52.82,20.94,0.89,-5.15,4.25
32,15500,"Burlington, NC",34.11,51.79,14.10,8.31,-7.44,-0.87
33,15540,"Burlington-South Burlington, VT",24.53,51.51,23.97,0.70,-9.72,9.03
34,15940,"Canton-Massillon, OH",25.25,58.55,16.20,2.81,-3.74,0.93
35,15980,"Cape Coral-Fort Myers, FL",28.39,54.19,17.42,2.45,-3.78,1.34
36,16580,"Champaign-Urbana, IL",35.92,44.42,19.66,7.33,-9.08,1.75
37,16700,"Charleston-North Charleston, SC",26.17,53.36,20.47,-3.02,-2.61,5.62
38,16740,"Charlotte-Concord-Gastonia, NC-SC",27.53,52.11,20.36,6.73,-6.51,-0.22
39,16860,"Chattanooga, TN-GA",29.17,53.29,17.54,3.13,-5.04,1.91
40,16980,"Chicago-Naperville-Elgin, IL-IN-WI",27.43,51.12,21.46,3.85,-5.14,1.29
41,17020,"Chico, CA",40.03,46.85,13.13,0.58,-2.71,2.15
42,17140,"Cincinnati, OH-KY-IN",22.57,52.25,25.18,1.63,-5.77,4.14
43,17300,"Clarksville, TN-KY",32.17,55.73,12.11,1.66,-3.42,1.77
44,17460,"Cleveland-Elyria, OH",25.46,52.28,22.27,4.48,-4.58,0.11
45,17820,"Colorado Springs, CO",23.52,54.77,21.72,2.91,-6.46,3.56
46,17860,"Columbia, MO",28.39,53.87,17.73,0.70,-0.31,-0.40
47,18140,"Columbus, OH",23.55,51.57,24.88,2.93,-6.76,3.82
48,18580,"Corpus Christi, TX",29.88,52.32,17.80,-4.25,-0.67,4.92
49,19100,"Dallas-Fort Worth-Arlington, TX",27.64,50.37,21.99,2.30,-4.12,1.82
50,19300,"Daphne-Fairhope-Foley, AL",27.43,50.20,22.38,-0.20,-6.10,6.31
51,19380,"Dayton, OH",26.93,52.72,20.35,4.84,-5.30,0.46
52,19460,"Decatur, AL",27.22,56.08,16.69,-0.61,0.76,-0.16
53,19500,"Decatur, IL",25.78,53.58,20.64,-0.21,-3.57,3.78
54,19660,"Deltona-Daytona Beach-Ormond Beach, FL",34.36,53.13,12.51,2.67,-3.16,0.49
55,19740,"Denver-Aurora-Lakewood, CO",22.43,52.99,24.58,3.66,-4.68,1.01
56,19820,"Detroit-Warren-Dearborn, MI",28.06,51.42,20.52,6.90,-3.66,-3.24
57,20100,"Dover, DE",23.21,57.45,19.34,-2.67,-3.00,5.67
58,20700,"East Stroudsburg, PA",23.34,59.97,16.69,-1.66,-0.54,2.20
59,20740,"Eau Claire, WI",22.60,61.23,16.16,-1.14,-3.76,4.89
60,20940,"El Centro, CA",42.09,44.65,13.25,-1.84,-2.19,4.02
61,21140,"El Paso, TX",43.53,45.60,10.87,0.85,-1.78,0.93
62,21340,"Elkhart-Goshen, IN",23.13,61.35,15.52,2.42,-2.66,0.24
63,21500,"Erie, PA",30.48,52.32,17.20,3.75,-9.64,5.89
64,21660,"Eugene, OR",34.73,51.99,13.28,3.99,-4.68,0.69
65,22180,"Fayetteville, NC",33.26,52.17,14.56,5.62,-8.24,2.60
66,22220,"Fayetteville-Springdale-Rogers, AR-MO",28.87,51.16,19.97,1.41,-7.68,6.26
67,22380,"Flagstaff, AZ",35.24,46.96,17.80,0.62,-4.70,4.08
68,22660,"Fort Collins, CO",26.22,55.73,18.06,5.45,-3.19,-2.25
69,23060,"Fort Wayne, IN",26.90,58.71,14.39,6.76,-2.32,-4.44
70,23420,"Fresno, CA",43.21,44.27,12.52,1.72,-2.36,0.64
71,23460,"Gadsden, AL",32.60,55.57,11.83,1.83,0.88,-2.71
72,23540,"Gainesville, FL",35.64,47.20,17.16,-3.55,0.63,2.92
73,23580,"Gainesville, GA",28.11,54.08,17.81,3.91,-4.12,0.20
74,24020,"Glens Falls, NY",27.24,58.13,14.63,0.19,-3.25,3.06
75,24140,"Goldsboro, NC",40.88,47.76,11.36,13.69,-11.88,-1.81
76,24300,"Grand Junction, CO",28.01,52.03,19.96,-1.88,-6.77,8.65
77,24340,"Grand Rapids-Wyoming, MI",24.79,56.79,18.42,6.82,-6.00,-0.82
78,24660,"Greensboro-High Point, NC",31.25,52.83,15.92,7.19,-5.96,-1.22
79,24780,"Greenville, NC",39.41,46.26,14.33,5.16,-4.21,-0.95
80,24860,"Greenville-Anderson-Mauldin, SC",33.36,50.20,16.43,6.86,-6.92,0.05
81,25060,"Gulfport-Biloxi-Pascagoula, MS",33.52,53.74,12.74,4.72,-5.34,0.62
82,25260,"Hanford-Corcoran, CA",39.16,49.07,11.77,-2.07,1.38,0.69
83,25420,"Harrisburg-Carlisle, PA",21.30,57.65,21.05,0.03,-3.12,3.09
84,25540,"Hartford-West Hartford-East Hartford, CT",20.96,49.30,29.73,2.08,-6.40,4.31
85,25860,"Hickory-Lenoir-Morganton, NC",35.24,54.34,10.42,10.61,-8.09,-2.53
86,25940,"Hilton Head Island-Bluffton-Beaufort, SC",23.06,56.05,20.89,-3.69,5.40,-1.71
87,26380,"Houma-Thibodaux, LA",32.45,52.64,14.91,-2.13,-2.82,4.95
88,26420,"Houston-The Woodlands-Sugar Land, TX",28.48,48.53,22.99,-0.99,-2.58,3.57
89,26620,"Huntsville, AL",25.49,50.12,24.39,2.41,-3.98,1.58
90,26900,"Indianapolis-Carmel-Anderson, IN",24.42,54.81,20.78,4.53,-4.06,-0.46
91,27100,"Jackson, MI",30.28,56.40,13.33,10.36,-6.26,-4.10
92,27180,"Jackson, TN",29.21,55.33,15.46,2.63,0.85,-3.47
93,27260,"Jacksonville, FL",28.18,52.91,18.92,3.87,-5.49,1.62
94,27500,"Janesville-Beloit, WI",19.45,65.15,15.40,2.35,0.00,-2.35
95,27780,"Johnstown, PA",25.22,55.98,18.80,-3.72,-3.35,7.08
96,27900,"Joplin, MO",30.25,56.75,13.00,-0.38,-3.00,3.38
97,28020,"Kalamazoo-Portage, MI",31.03,52.50,16.47,6.52,-5.76,-0.75
98,28100,"Kankakee, IL",23.28,62.11,14.61,-4.05,2.15,1.91
